순위,종목코드,종목명,시가총액,종목선정일,시장,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률,종가,투자연도,투자월
248.0,028150,GS홈쇼핑,,2019-12-30,KOSDAQ,-0.6,-4.19,-13.65,-17.26,-11.9,148600.0,2020,2020-01
249.0,263750,펄어비스,,2019-12-30,KOSDAQ,-0.05,-6.46,-12.76,-10.92,-1.9,37040.0,2020,2020-01
250.0,011170,롯데케미칼,,2019-12-30,KOSPI,1.82,-5.09,-11.29,-19.13,-15.4,213361.0,2020,2020-01
251.0,316140,우리금융지주,,2019-12-30,KOSPI,-0.85,-6.83,-17.44,0.0,-12.5,11600.0,2020,2020-01
252.0,096770,SK이노베이션,,2019-12-30,KOSPI,2.39,-9.64,-5.66,-16.43,-13.3,147592.0,2020,2020-01
253.0,005380,현대차,,2019-12-30,KOSPI,-0.41,-10.07,-13.93,1.69,3.7,120500.0,2020,2020-01
254.0,078070,유비쿼스홀딩스,,2019-12-30,KOSDAQ,-0.74,-20.83,-57.22,152.51,31.8,20150.0,2020,2020-01
255.0,035760,CJ ENM,,2019-12-30,KOSDAQ,4.59,-5.79,-9.83,-20.95,-13.4,159600.0,2020,2020-01
256.0,138040,메리츠금융지주,,2019-12-30,KOSPI,-5.6,-8.17,-19.45,2.16,-9.3,11800.0,2020,2020-01
257.0,000060,메리츠화재,,2019-12-30,KOSPI,-2.99,-6.54,-13.77,-18.31,-12.0,17850.0,2020,2020-01
258.0,251270,넷마블,,2019-12-30,KOSPI,5.0,-2.22,-18.23,-17.13,-3.0,92400.0,2020,2020-01
259.0,013120,동원개발,,2019-12-30,KOSDAQ,0.74,-7.16,-20.68,2.12,-4.5,4085.0,2020,2020-01
260.0,025900,동화기업,,2019-12-30,KOSDAQ,-2.02,-14.39,-2.58,-17.11,0.6,6789.0,2020,2020-01
261.0,033290,코웰패션,,2019-12-30,KOSDAQ,5.24,-6.94,-26.47,18.62,-8.5,4803.0,2020,2020-01
