투자연도,투자월,종목선정일,종목코드,종목명,시장,1개월(%),3개월(%),6개월(%),12개월(%),시가총액,종가,거래량,이번달수익률
2026,2026-05,2026-04-30,078930,GS,KOSPI,28.37,19.21,70.8,111.63,7609769458200,81900,369316,-8.79
2026,2026-05,2026-04-30,377300,카카오페이,KOSPI,14.02,-12.15,6.5,75.99,7533166941900,55700,5,3.77
2026,2026-05,2026-04-30,180640,한진칼,KOSPI,4.55,-0.18,7.64,41.76,7524108843300,112700,102470,9.23
2026,2026-05,2026-04-30,082740,한화엔진,KOSPI,102.07,61.76,78.14,222.94,7343348496000,88000,1087059,-12.05
2026,2026-05,2026-04-30,161390,한국타이어앤테크놀로지,KOSPI,9.43,-6.77,27.72,43.0,7333404084800,59200,522791,4.39
2026,2026-05,2026-04-30,000100,유한양행,KOSPI,-3.38,-15.19,-22.37,-19.51,7295720251600,91600,237957,-2.4
2026,2026-05,2026-04-30,052690,한전기술,KOSPI,24.65,43.53,84.54,177.35,7208292000000,188600,53,-17.87
2026,2026-05,2026-04-30,454910,두산로보틱스,KOSPI,38.62,-3.42,41.28,118.65,7143161796000,110200,1839947,-3.09
2026,2026-05,2026-04-30,241560,두산밥캣,KOSPI,26.54,22.45,19.4,46.94,6901636680000,72000,441090,-0.69
2026,2026-05,2026-04-30,000990,DB하이텍,KOSPI,101.91,49.81,169.56,313.3,6895477198000,158500,580177,15.33
2026,2026-05,2026-04-30,010060,OCI홀딩스,KOSPI,95.95,218.89,222.24,468.78,6870645376000,368000,382382,-0.95
2026,2026-05,2026-04-30,032640,LG유플러스,KOSPI,2.0,-1.0,3.94,31.78,6808481143200,15840,984607,4.8
2026,2026-05,2026-04-30,001040,CJ,KOSPI,18.78,3.22,31.52,80.61,6550236051000,224500,70345,-5.12
2026,2026-05,2026-04-30,064400,LG씨엔에스,KOSPI,16.49,-6.74,-1.96,23.57,6297586620000,65000,567472,32.46
2026,2026-05,2026-04-30,029780,삼성카드,KOSPI,0.38,-6.16,7.57,27.06,6175278890300,53300,140081,-4.32
2026,2026-05,2026-04-30,034220,LG디스플레이,KOSPI,13.0,5.06,-16.6,44.75,6130000000000,12260,3862,25.12
2026,2026-05,2026-04-30,021240,코웨이,KOSPI,19.25,3.24,-3.48,-1.82,6093075378600,86100,284878,11.73
2026,2026-05,2026-04-30,128940,한미약품,KOSPI,-10.68,-4.96,8.24,71.0,5893055860000,460000,142664,-2.28
2026,2026-05,2026-04-30,103590,일진전기,KOSPI,76.26,82.84,112.67,386.11,5841460275000,122500,1230841,8.82
2026,2026-05,2026-04-30,036570,NC,KOSPI,20.76,15.35,22.68,84.89,5827657951000,270500,88748,3.14
2026,2026-05,2026-04-30,138930,BNK금융지주,KOSPI,4.7,12.76,35.63,80.97,5812425328090,18730,960892,-6.57
2026,2026-05,2026-04-30,005385,현대차우,KOSPI,8.73,-6.04,14.75,66.11,5811899040000,249000,101451,14.06
2026,2026-05,2026-04-30,004020,현대제철,KOSPI,26.45,36.16,28.94,73.67,5678118151750,42550,1595104,7.99
2026,2026-05,2026-04-30,271560,오리온,KOSPI,12.19,22.21,44.61,16.56,5677388555200,143600,79671,-0.28
2026,2026-05,2026-04-30,450080,에코프로머티,KOSPI,19.85,18.96,27.46,44.68,5665867946200,80300,1141670,-14.07
2026,2026-05,2026-04-30,353200,대덕전자,KOSPI,47.07,78.2,197.23,708.02,5574229140000,112800,901881,28.19
2026,2026-05,2026-04-30,088980,맥쿼리인프라,KOSPI,1.16,1.43,3.28,-0.96,5435764620550,11350,1115849,-0.88
2026,2026-05,2026-04-30,022100,포스코DX,KOSPI,18.51,-9.7,32.7,42.16,5306012042100,34900,107,2.15
2026,2026-05,2026-04-30,175330,JB금융지주,KOSPI,-8.08,8.55,21.6,59.93,5139322843200,27300,425625,-6.04
2026,2026-05,2026-04-30,002380,KCC,KOSPI,15.15,13.5,26.28,122.44,4931991405000,555000,27147,3.96
2026,2026-05,2026-04-30,011170,롯데케미칼,KOSPI,41.32,36.57,61.1,88.89,4872120224100,113900,502782,-19.58
2026,2026-05,2026-04-30,011790,SKC,KOSPI,37.5,7.21,-1.69,22.96,4468459164000,118000,338644,23.9
2026,2026-05,2026-04-30,489790,한화비전,KOSPI,21.41,39.48,71.03,43.19,4352099218000,86200,2145909,-9.28
2026,2026-05,2026-04-30,018880,한온시스템,KOSPI,13.1,29.16,4.26,27.83,4341090594960,4230,12976863,18.2
2026,2026-05,2026-04-30,088350,한화생명,KOSPI,10.27,40.17,61.22,84.34,4242769050000,4885,4464177,12.38
