순위,거래소,종목코드,종목명,시가총액,종목선정일,종가,수정종가,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률
487,NYSE,LEG,LEGGETT & PLATT INC,5866.2,2018-03-29,44.36,32.253,2.84,-6.36,-5.62,-9.15,-8.59
488,NASDAQ,TRIP,TRIPADVISOR INC,5683.1,2018-03-29,40.89,36.401,2.02,18.66,0.89,-5.26,-8.49
489,NYSE,FLS,FLOWSERVE CORP,5667.5,2018-03-29,43.33,36.806,2.78,3.77,2.65,-8.91,2.49
490,NYSE,FL,FOOT LOCKER INC,5379.0,2018-03-29,45.54,37.174,-0.81,-2.24,31.41,-37.47,-4.62
491,NYSE,SCG,SCANA CORP,5356.1,2018-03-29,37.55,37.208,-3.86,-4.13,-20.21,-39.65,-2.07
492,NYSE,HRB,H&R BLOCK INC,5315.8,2018-03-29,25.41,18.303,1.18,-2.25,-2.31,13.14,8.81
493,NYSE,PWR,QUANTA SERVICES INC,5281.1,2018-03-29,34.35,33.688,-0.26,-12.17,-8.08,-7.44,-5.38
494,NASDAQ,SRCL,STERICYCLE INC,5006.9,2018-03-29,58.53,58.53,-6.61,-13.91,-18.28,-29.39,0.31
495,NYSE,NFX,NEWFIELD EXPLORATION CO,4877.2,2018-03-29,24.42,24.42,4.67,-22.55,-17.69,-33.84,22.03
496,NYSE,AIZ,ASSURANT INC,4796.8,2018-03-29,91.41,78.374,6.95,-8.78,-3.15,-2.26,1.54
497,NYSE,EVHC,ENVISION HEALTHCARE CORP,4647.2,2018-03-29,38.43,38.43,-0.18,11.2,-14.51,-37.33,-3.28
498,NASDAQ,MAT,MATTEL INC,4522.6,2018-03-29,13.15,13.15,-17.3,-14.5,-15.05,-47.29,12.55
499,NYSE,RRC,RANGE RESOURCES CORP,3613.8,2018-03-29,14.54,13.751,9.56,-14.65,-25.51,-49.81,-4.75
500,NASDAQ,NAVI,NAVIENT CORP,3455.7,2018-03-29,13.12,8.824,2.49,-0.28,-10.44,-6.75,1.07
501,NASDAQ,DISCK,WARNER BROS DISCOVERY INC,,2018-03-29,19.52,19.52,-15.06,-7.79,-3.65,-31.05,13.83
502,NASDAQ,NWS,NEWS CORP,,2018-03-29,16.1,14.789,-1.24,-2.43,18.65,20.86,0.93
503,NASDAQ,TFCFA,TWENTY-FIRST CENTURY FOX INC,,2018-03-29,36.69,36.543,0.13,6.77,39.75,14.61,-0.36
504,NYSE,UA,UNDER ARMOUR INC,,2018-03-29,14.35,14.35,-4.65,7.73,-4.46,-21.58,6.97
505,NASDAQ,GOOG,ALPHABET INC,,2018-03-29,51.59,51.136,-6.6,-1.4,7.58,24.38,-1.4
