지수,연도,사이클4,사이클8,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
NASDAQ,1982,2,2,-0.038,-0.0476,-0.0211,0.0515,-0.0334,-0.0406,-0.0231,0.0619,0.0559,0.1331,0.0926,0.0004
NASDAQ,1983,3,3,0.0686,0.0496,0.0389,0.0822,0.0535,0.0323,-0.0463,-0.038,0.0145,-0.0745,0.0405,-0.0247
NASDAQ,1984,4,4,-0.0365,-0.0591,-0.0071,-0.0133,-0.0591,0.0293,-0.0415,0.1086,-0.0185,-0.0116,-0.0182,0.0199
NASDAQ,1985,1,5,0.1267,0.0196,-0.0175,0.0049,0.0365,0.0186,0.0172,-0.0119,-0.0584,0.0436,0.0732,0.035
NASDAQ,1986,2,6,0.0334,0.0708,0.0422,0.0227,0.0441,0.0134,-0.0842,0.0309,-0.0841,0.0288,-0.0033,-0.0299
NASDAQ,1987,3,7,0.1239,0.0839,0.012,-0.0285,-0.003,0.0195,0.0242,0.0461,-0.0235,-0.2723,-0.0561,0.0829
NASDAQ,1988,4,8,0.0429,0.0647,0.021,0.0123,-0.0234,0.0657,-0.0186,-0.0278,0.0296,-0.0135,-0.0288,0.0267
NASDAQ,1989,1,1,0.0522,-0.004,0.0176,0.0512,0.0436,-0.0244,0.0426,0.0341,0.0076,-0.0366,0.001,-0.0028
NASDAQ,1990,2,2,-0.0858,0.0241,0.0228,-0.0355,0.0926,0.0072,-0.052,-0.1301,-0.0963,-0.0426,0.0886,0.0412
NASDAQ,1991,3,3,0.108,0.0938,0.0646,0.005,0.0441,-0.0597,0.0549,0.0471,0.0023,0.0306,-0.0351,0.1192
NASDAQ,1992,4,4,0.0578,0.0214,-0.0469,-0.0416,0.0115,-0.0371,0.0306,-0.0305,0.0358,0.0375,0.0786,0.0371
NASDAQ,1993,1,1,0.0286,-0.0367,0.0289,-0.0416,0.0591,0.0049,0.0011,0.0541,0.0268,0.0216,-0.0319,0.0297
NASDAQ,1994,2,2,0.0305,-0.01,-0.0619,-0.0129,0.0018,-0.0398,0.0229,0.0602,-0.0017,0.0173,-0.0349,0.0022
NASDAQ,1995,3,3,0.0043,0.051,0.0296,0.0328,0.0244,0.0797,0.0726,0.0189,0.023,-0.0072,0.0223,-0.0067
NASDAQ,1996,4,4,0.0073,0.038,0.0012,0.0809,0.0444,-0.047,-0.0881,0.0564,0.0748,-0.0044,0.0582,-0.0012
NASDAQ,1997,1,5,0.0688,-0.0513,-0.0667,0.032,0.1107,0.0298,0.1052,-0.0041,0.062,-0.0546,0.0044,-0.0189
NASDAQ,1998,2,6,0.0312,0.0933,0.0368,0.0178,-0.0479,0.0651,-0.0118,-0.1993,0.1298,0.0458,0.1006,0.1247
NASDAQ,1999,3,7,0.1428,-0.0869,0.0758,0.0331,-0.0284,0.0873,-0.0177,0.0382,0.0025,0.0802,0.1246,0.2198
NASDAQ,2000,4,8,-0.0317,0.1919,-0.0264,-0.1557,-0.1191,0.1662,-0.0502,0.1166,-0.1268,-0.0825,-0.229,-0.049
NASDAQ,2001,1,1,0.1223,-0.2239,-0.1448,0.15,-0.0027,0.024,-0.0621,-0.1094,-0.1698,0.1277,0.1422,0.0103
NASDAQ,2002,2,2,-0.0084,-0.1047,0.0658,-0.0851,-0.0429,-0.0944,-0.0922,-0.0101,-0.1086,0.1345,0.1121,-0.0969
NASDAQ,2003,3,3,-0.0109,0.0126,0.0027,0.0918,0.0899,0.0168,0.0692,0.0435,-0.013,0.0813,0.0145,0.022
NASDAQ,2004,4,4,0.0313,-0.0176,-0.0175,-0.0371,0.0347,0.0307,-0.0783,-0.0261,0.032,0.0412,0.0617,0.0375
NASDAQ,2005,1,5,-0.052,-0.0052,-0.0256,-0.0388,0.0763,-0.0054,0.0622,-0.015,-0.0002,-0.0146,0.0531,-0.0123
NASDAQ,2006,2,6,0.0456,-0.0106,0.0256,-0.0074,-0.0619,-0.0031,-0.0371,0.0441,0.0342,0.0479,0.0275,-0.0068
NASDAQ,2007,3,7,0.0201,-0.0194,0.0023,0.0427,0.0315,-0.0005,-0.0221,0.02,0.0405,0.0583,-0.0693,-0.0033
NASDAQ,2008,4,8,-0.0989,-0.0495,0.0034,0.0587,0.0455,-0.091,0.0142,0.018,-0.1164,-0.1773,-0.1077,0.027
NASDAQ,2009,1,1,-0.0638,-0.0668,0.1094,0.1235,0.0332,0.0342,0.0782,0.0154,0.0564,-0.0364,0.0486,0.0581
NASDAQ,2010,2,2,-0.0537,0.0423,0.0714,0.0264,-0.0829,-0.0655,0.069,-0.0624,0.1204,0.0586,-0.0037,0.0619
NASDAQ,2011,3,3,0.0178,0.0304,-0.0004,0.0332,-0.0133,-0.0218,-0.0062,-0.0642,-0.0636,0.1114,-0.0239,-0.0058
NASDAQ,2012,4,4,0.0801,0.0544,0.042,-0.0146,-0.0719,0.0381,0.0015,0.0434,0.0161,-0.0446,0.0111,0.0031
NASDAQ,2013,1,5,0.0406,0.0057,0.034,0.0188,0.0382,-0.0152,0.0656,-0.0101,0.0506,0.0393,0.0358,0.0287
NASDAQ,2014,2,6,-0.0174,0.0498,-0.0253,-0.0201,0.0311,0.039,-0.0087,0.0482,-0.019,0.0306,0.0347,-0.0116
NASDAQ,2015,3,7,-0.0213,0.0708,-0.0126,0.0083,0.026,-0.0164,0.0284,-0.0686,-0.0327,0.0938,0.0109,-0.0198
NASDAQ,2016,4,8,-0.0786,-0.0121,0.0684,-0.0194,0.0362,-0.0213,0.066,0.0099,0.0189,-0.0231,0.0259,0.0112
NASDAQ,2017,1,1,0.043,0.0375,0.0148,0.023,0.025,-0.0094,0.0338,0.0127,0.0105,0.0357,0.0217,0.0043
NASDAQ,2018,2,2,0.0736,-0.0187,-0.0288,0.0004,0.0532,0.0092,0.0215,0.0571,-0.0078,-0.092,0.0034,-0.0948
NASDAQ,2019,3,3,0.0974,0.0344,0.0261,0.0474,-0.0793,0.0742,0.0211,-0.026,0.0046,0.0366,0.045,0.0354
NASDAQ,2020,4,4,0.0199,-0.0638,-0.1012,0.1545,0.0675,0.0599,0.0683,0.0959,-0.0516,-0.0229,0.118,0.0565
NASDAQ,2021,1,1,0.0142,0.0093,0.0041,0.054,-0.0153,0.0549,0.0116,0.04,-0.0531,0.0727,0.0025,0.0069
NASDAQ,2022,2,2,-0.0898,-0.0343,0.0341,-0.1326,-0.0205,-0.0871,0.1235,-0.0464,-0.105,0.039,0.0437,-0.0873
NASDAQ,2023,3,3,0.1068,-0.0111,0.0669,0.0004,0.058,0.0659,0.0405,-0.0217,-0.0581,-0.0278,0.107,0.0552
NASDAQ,2024,4,4,0.0102,0.0612,0.0179,-0.0441,0.0688,0.0596,-0.0075,0.0065,0.0268,-0.0052,0.0621,0.0048
NASDAQ,2025,1,5,0.0164,-0.0397,-0.0821,0.0085,0.0956,0.0657,0.037,0.0158,0.0561,0.047,-0.0151,-0.0053
NASDAQ,2026,2,6,0.0095,-0.0338,-0.0475,0.1529,0.0836,-0.0281,-0.032,0.0393,,,,
KOSPI,1981,1,1,,,,,0.0319,0.194,-0.0179,-0.054,-0.0557,-0.0703,0.0764,-0.0083
KOSPI,1982,2,2,-0.043,0.0249,-0.0074,-0.0503,-0.0563,0.0792,0.0116,-0.0251,-0.0183,0.0184,0.0144,0.0431
KOSPI,1983,3,3,-0.0831,0.0442,-0.03,0.0972,-0.0432,-0.0264,0.0212,-0.0497,-0.0093,0.0315,-0.0312,0.0304
KOSPI,1984,4,4,0.0237,0.045,0.0285,0.0169,-0.0378,-0.0015,0.0327,0.0117,-0.0145,-0.0322,0.0441,0.0511
KOSPI,1985,1,5,-0.025,-0.0286,0.0113,-0.0169,-0.0004,0.0186,0.0059,-0.0065,0.0177,0.0143,0.0658,0.088
KOSPI,1986,2,6,-0.0181,0.0966,0.1356,0.0158,0.1387,0.0532,0.1249,-0.0333,-0.0423,-0.05,0.1171,0.0135
KOSPI,1987,3,7,0.138,0.0798,0.2094,-0.1148,0.0819,0.0613,0.179,-0.0236,0.0239,0.0488,-0.0657,0.1041
KOSPI,1988,4,8,0.2066,-0.0335,0.0721,-0.0142,0.1084,-0.0202,0.026,-0.0786,0.0197,0.0771,0.1388,0.0915
KOSPI,1989,1,1,-0.0253,0.038,0.093,-0.0626,-0.0083,-0.0838,0.048,0.0889,-0.0337,-0.0513,0.0138,0.0037
KOSPI,1990,2,2,-0.0149,-0.0386,-0.024,-0.181,0.1587,-0.1142,-0.0402,-0.1054,-0.0066,0.1448,0.01,-0.0013
KOSPI,1991,3,3,-0.0872,0.0632,-0.0233,-0.0216,-0.0531,-0.0099,0.1846,-0.0473,0.0322,-0.013,-0.063,-0.0632
