종목코드,종목명,시가총액,기준일,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률,모멘텀스코어
007810,코리아써키트,2355093284000,2026-04-27,16.9,55.87,386.14,851.55,0.0,1310.46
000120,CJ대한통운,2349671432000,2026-04-27,-4.81,4.89,24.4,24.85,0.0,49.33
002790,아모레퍼시픽홀딩스,2343443217000,2026-04-27,4.43,6.24,21.39,40.27,0.0,72.33000000000001
085620,미래에셋생명,2338614000000,2026-04-27,-3.41,84.24,102.58,239.22,0.0,422.63
004370,농심,2317486602000,2026-04-27,1.46,-6.62,-12.01,-3.42,0.0,-20.590000000000003
011210,현대위아,2306143038400,2026-04-27,3.79,0.83,50.62,96.07,0.0,151.31
030000,제일기획,2272064193750,2026-04-27,-0.4,-6.84,-3.19,8.94,0.0,-1.4900000000000002
298020,효성티앤씨,2237411594000,2026-04-27,28.77,36.59,131.32,142.15,0.0,338.83000000000004
361610,SK아이이테크놀로지,2216430410000,2026-04-27,25.17,1.88,-19.35,17.83,0.0,25.529999999999998
081660,미스토홀딩스,2187383808000,2026-04-27,2.49,-8.95,5.91,13.03,0.0,12.48
003690,코리안리,2171901470990,2026-04-27,-7.8,8.57,12.44,54.59,0.0,67.80000000000001
161890,한국콜마,2148062007000,2026-04-27,13.47,35.62,21.66,21.98,0.0,92.73
395400,SK리츠,2134214925800,2026-04-27,9.24,25.49,33.52,46.34,0.0,114.59
001120,LX인터내셔널,2127924000000,2026-04-27,18.32,48.38,80.59,109.54,0.0,256.83000000000004
322000,HD현대에너지솔루션,2113440000000,2026-04-27,53.17,252.71,220.37,558.64,0.0,1084.8899999999999
005070,코스모신소재,2099160887200,2026-04-27,22.24,23.44,4.81,55.09,0.0,105.58000000000001
229640,LS에코에너지,2091679235700,2026-04-27,54.18,68.64,48.32,112.11,0.0,283.25
023590,다우기술,2075626610400,2026-04-27,-0.72,2.02,29.95,127.25,0.0,158.5
462870,시프트업,2044103749000,2026-04-27,7.89,-3.86,-11.21,-35.34,0.0,-42.52
007070,GS리테일,2006577960000,2026-04-27,12.94,14.29,37.38,65.75,0.0,130.36
003540,대신증권,1934336685900,2026-04-27,3.83,32.55,36.46,126.77,0.0,199.61
003570,SNT다이내믹스,1872126841100,2026-04-27,13.28,8.48,-11.76,66.32,0.0,76.32
