순위,투자연도,투자월,종목선정일,시장,종목명,종목코드,시가총액,종가,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률
34,2026,2026-09,2026-08-31,NYSE,Merck & Company Inc. Common Stock (new),MRK,364549.3,148.35000610351562,13.94,24.96,19.81,76.36,0.0
35,2026,2026-09,2026-08-31,NASDAQ,Applied Materials Inc. Common Stock,AMAT,363777.1,461.6700134277344,-9.06,2.58,24.0,187.18,0.0
36,2026,2026-09,2026-08-31,NYSE,HSBC Holdings plc. Common Stock,HSBC,354462.6,103.52999877929688,-2.72,10.44,11.13,60.59,0.0
37,2026,2026-09,2026-08-31,NYSE,UnitedHealth Group Incorporated Common Stock (DE),UNH,349532.4,392.95001220703125,-5.18,3.32,33.99,26.81,0.0
38,2026,2026-09,2026-08-31,NYSE,GE Aerospace Common Stock,GE,348320.1,342.5799865722656,-4.86,5.81,0.09,24.48,0.0
39,2026,2026-09,2026-08-31,NASDAQ,Netflix Inc. Common Stock,NFLX,337487.3,81.72000122070312,13.96,-5.0,-15.09,-32.36,0.0
40,2026,2026-09,2026-08-31,NYSE,Procter & Gamble Company (The) Common Stock,PG,337321.7,143.77999877929688,-0.49,0.15,-14.01,-8.44,0.0
41,2026,2026-09,2026-08-31,NYSE,Morgan Stanley Common Stock,MS,335033.2,214.77000427246094,2.07,3.25,28.98,42.72,0.0
42,2026,2026-09,2026-08-31,NYSE,Home Depot Inc. (The) Common Stock,HD,327072.6,330.19000244140625,-0.53,4.11,-13.27,-18.83,0.0
43,2026,2026-09,2026-08-31,NASDAQ,Palo Alto Networks Inc. Common Stock,PANW,311436.0,371.5899963378906,11.98,31.91,149.52,95.04,0.0
44,2026,2026-09,2026-08-31,NYSE,Goldman Sachs Group Inc. (The) Common Stock,GS,298712.7,1033.989990234375,1.53,0.82,20.29,38.74,0.0
45,2026,2026-09,2026-08-31,NYSE,Dell Technologies Inc. Class C Common Stock,DELL,295543.7,456.239990234375,12.55,8.39,208.1,273.51,0.0
46,2026,2026-09,2026-08-31,NYSE,Philip Morris International Inc Common Stock,PM,291928.3,191.88999938964844,0.56,8.18,2.71,14.81,0.0
47,2026,2026-09,2026-08-31,NYSE,Novartis AG Common Stock,NVS,290153.5,153.80999755859375,-1.5,2.42,-8.78,21.54,0.0
48,2026,2026-09,2026-08-31,NYSE,Royal Bank Of Canada Common Stock,RY,283723.0,204.22999572753906,-2.52,7.76,22.13,40.5,0.0
49,2026,2026-09,2026-08-31,NYSE,RTX Corporation Common Stock,RTX,279969.8,211.7100067138672,-1.63,17.84,4.49,33.49,0.0
50,2026,2026-09,2026-08-31,NYSE,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,BABA,276211.9,118.9000015258789,-2.74,-4.28,-17.49,-11.93,0.0
51,2026,2026-09,2026-08-31,NYSE,SAP  SE ADS,SAP,271364.3,221.5399932861328,20.65,21.87,9.93,-18.6,0.0
52,2026,2026-09,2026-08-31,NYSE,Mitsubishi UFJ Financial Group Inc. Common Stock,MUFG,269990.4,22.899999618530273,2.0,22.39,22.85,49.77,0.0
53,2026,2026-09,2026-08-31,NYSE,Wells Fargo & Company Common Stock,WFC,261243.3,86.69000244140625,0.28,11.8,6.43,5.49,0.0
54,2026,2026-09,2026-08-31,NYSE,Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares),SHEL,260170.3,90.91000366210938,-1.16,8.07,8.86,23.05,0.0
55,2026,2026-09,2026-08-31,NASDAQ,Arm Holdings plc American Depositary Shares,ARM,257405.6,239.0500030517578,-0.27,-32.34,87.56,72.84,0.0
56,2026,2026-09,2026-08-31,NYSE,Toyota Motor Corporation Common Stock,TM,256168.9,194.47999572753906,2.9,2.38,-19.76,-0.05,0.0
57,2026,2026-09,2026-08-31,NYSE,AstraZeneca PLC Ordinary Shares,AZN,251419.2,162.6999969482422,-4.09,-12.37,-21.95,1.81,0.0
58,2026,2026-09,2026-08-31,NYSE,Arista Networks Inc. Common Stock,ANET,246809.1,195.3800048828125,8.33,22.52,46.35,43.08,0.0
59,2026,2026-09,2026-08-31,NYSE,GE Vernova Inc. Common Stock,GEV,239308.7,911.9299926757812,-7.91,-5.82,4.39,48.77,0.0
60,2026,2026-09,2026-08-31,NYSE,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),BHP,238622.2,95.1500015258789,12.62,7.02,16.65,70.61,0.0
61,2026,2026-09,2026-08-31,NASDAQ,Texas Instruments Incorporated Common Stock,TXN,238275.5,258.6400146484375,-6.2,-15.39,21.94,27.74,0.0
62,2026,2026-09,2026-08-31,NASDAQ,CrowdStrike Holdings Inc. Class A Common Stock,CRWD,236528.9,218.39999389648438,14.43,19.51,134.85,106.18,0.0
63,2026,2026-09,2026-08-31,NYSE,Comcast Holdings ZONES,CCZ,235806.5,66.44999694824219,0.7,4.98,3.22,9.2,0.0
64,2026,2026-09,2026-08-31,NASDAQ,Amgen Inc. Common Stock,AMGN,232406.9,432.4200134277344,12.27,28.39,11.4,50.3,0.0
65,2026,2026-09,2026-08-31,NASDAQ,Sandisk Corporation Common Stock,SNDK,229394.6,1484.97998046875,22.24,-12.39,133.72,2730.15,0.0
66,2026,2026-09,2026-08-31,NASDAQ,KLA Corporation Common Stock,KLAC,229233.6,175.5399932861328,-3.98,-8.65,15.14,101.31,0.0
67,2026,2026-09,2026-08-31,NYSE,Thermo Fisher Scientific Inc Common Stock,TMO,228171.1,622.1799926757812,8.34,26.33,19.4,26.27,0.0
68,2026,2026-09,2026-08-31,NASDAQ,Linde plc Ordinary Shares,LIN,225686.7,489.510009765625,2.33,-1.64,-3.65,2.35,0.0
69,2026,2026-09,2026-08-31,NYSE,American Express Company Common Stock,AXP,222967.0,333.20001220703125,-0.91,5.29,7.87,0.58,0.0
70,2026,2026-09,2026-08-31,NYSE,Citigroup Inc. Common Stock,C,220784.2,132.89999389648438,0.34,5.56,20.61,37.62,0.0
71,2026,2026-09,2026-08-31,NYSE,International Business Machines Corporation Common Stock,IBM,220337.0,235.58999633789062,5.34,-20.89,-1.92,-3.24,0.0
72,2026,2026-09,2026-08-31,NYSE,Banco Santander S.A. Sponsored ADR (Spain),SAN,213876.5,14.670000076293945,4.04,17.55,18.69,53.93,0.0
73,2026,2026-09,2026-08-31,NYSE,Salesforce Inc. Common Stock,CRM,211955.4,256.0,39.12,33.96,31.42,-0.1,0.0
74,2026,2026-09,2026-08-31,NYSE,Verizon Communications Inc. Common Stock,VZ,207821.9,50.099998474121094,7.03,4.79,-0.08,13.27,0.0
75,2026,2026-09,2026-08-31,NYSE,Novo Nordisk A/S Common Stock,NVO,200718.1,45.61000061035156,-3.12,0.07,21.79,-19.22,0.0
76,2026,2026-09,2026-08-31,NYSE,Toronto Dominion Bank (The) Common Stock,TD,199794.1,121.25,1.11,6.75,24.54,61.37,0.0
77,2026,2026-09,2026-08-31,NYSE,Amphenol Corporation Common Stock,APH,195489.5,157.74000549316406,-1.84,6.04,8.0,44.9,0.0
78,2026,2026-09,2026-08-31,NASDAQ,T-Mobile US Inc. Common Stock,TMUS,193552.9,181.3699951171875,5.01,-3.28,-16.45,-28.02,0.0
79,2026,2026-09,2026-08-31,NYSE,TotalEnergies SE Ordinary Shares,TTE,192680.2,86.3499984741211,-1.72,-1.11,7.48,37.61,0.0
80,2026,2026-09,2026-08-31,NASDAQ,PepsiCo Inc. Common Stock,PEP,191548.9,141.07000732421875,1.08,-2.16,-16.89,-5.1,0.0
81,2026,2026-09,2026-08-31,NYSE,Abbott Laboratories Common Stock,ABT,190965.1,112.47000122070312,6.4,31.39,-3.33,-15.22,0.0
82,2026,2026-09,2026-08-31,NASDAQ,Shopify Inc. Class A Subordinate Voting Shares,SHOP,190963.7,152.89999389648438,30.52,28.8,26.65,8.22,0.0
83,2026,2026-09,2026-08-31,NYSE,Charles Schwab Corporation (The) Common Stock,SCHW,189915.6,110.16000366210938,4.68,26.11,15.71,14.94,0.0
84,2026,2026-09,2026-08-31,NASDAQ,Seagate Technology Holdings PLC Ordinary Shares (Ireland),STX,187747.8,829.760009765625,-3.08,-5.69,103.45,395.68,0.0
85,2026,2026-09,2026-08-31,NYSE,McDonald's Corporation Common Stock,MCD,186491.8,265.0,-2.08,-5.09,-22.3,-15.48,0.0
86,2026,2026-09,2026-08-31,NYSE,Walt Disney Company (The) Common Stock,DIS,185705.2,108.0999984741211,12.38,6.16,1.94,-8.68,0.0
87,2026,2026-09,2026-08-31,NASDAQ,Marvell Technology Inc. Common Stock,MRVL,185364.7,216.6199951171875,15.49,5.67,165.17,244.55,0.0
88,2026,2026-09,2026-08-31,NASDAQ,Gilead Sciences Inc. Common Stock,GILD,181455.0,145.67999267578125,11.88,8.37,-2.2,28.95,0.0
89,2026,2026-09,2026-08-31,NASDAQ,QUALCOMM Incorporated Common Stock,QCOM,179043.9,164.19000244140625,11.23,-34.59,15.33,2.15,0.0
90,2026,2026-09,2026-08-31,NYSE,BlackRock Inc. Common Stock,BLK,178968.5,1164.47998046875,6.79,11.23,9.52,3.31,0.0
91,2026,2026-09,2026-08-31,NYSE,Union Pacific Corporation Common Stock,UNP,178620.7,307.4100036621094,5.23,17.05,16.01,37.5,0.0
92,2026,2026-09,2026-08-31,NYSE,AT&T Inc.,T,177408.3,26.010000228881836,11.87,4.88,-7.14,-11.2,0.0
93,2026,2026-09,2026-08-31,NYSE,Deere & Company Common Stock,DE,176580.4,630.3300170898438,6.35,16.26,0.1,31.69,0.0
94,2026,2026-09,2026-08-31,NASDAQ,Analog Devices Inc. Common Stock,ADI,175480.5,361.7799987792969,-1.53,-12.58,1.68,43.96,0.0
95,2026,2026-09,2026-08-31,NYSE,Southern Copper Corporation Common Stock,SCCO,174266.9,209.8000030517578,16.2,9.67,-2.93,124.06,0.0
96,2026,2026-09,2026-08-31,NYSE,UBS Group AG Registered Ordinary Shares,UBS,172923.4,54.900001525878906,4.1,16.61,32.51,35.49,0.0
97,2026,2026-09,2026-08-31,NYSE,NextEra Energy Inc. Common Stock,NEE,171759.4,81.83999633789062,-5.84,-5.94,-12.72,13.59,0.0
98,2026,2026-09,2026-08-31,NYSE,Welltower Inc. Common Stock,WELL,170268.8,238.07000732421875,1.55,15.95,14.94,41.47,0.0
99,2026,2026-09,2026-08-31,NYSE,Banco Bilbao Vizcaya Argentaria S.A. Common Stock,BBVA,165331.7,29.0,3.76,23.98,25.38,59.96,0.0
100,2026,2026-09,2026-08-31,NYSE,Boeing Company (The) Common Stock,BA,164223.1,209.82000732421875,-2.92,-9.23,-7.78,-10.59,0.0
101,2026,2026-09,2026-08-31,NASDAQ,Western Digital Corporation Common Stock,WDC,162441.7,459.45001220703125,-15.67,-13.51,64.27,471.88,0.0
102,2026,2026-09,2026-08-31,NYSE,Pfizer Inc. Common Stock,PFE,162212.7,27.959999084472656,11.8,6.8,1.12,12.92,0.0
103,2026,2026-09,2026-08-31,NYSE,ConocoPhillips Common Stock,COP,159165.2,130.35000610351562,8.19,14.36,14.89,31.71,0.0
104,2026,2026-09,2026-08-31,NYSE,Eaton Corporation PLC Ordinary Shares,ETN,156090.2,402.7799987792969,-2.99,0.54,7.15,15.36,0.0
105,2026,2026-09,2026-08-31,NYSE,Anheuser-Busch Inbev SA Sponsored ADR (Belgium),BUD,155995.7,80.12999725341797,-7.34,0.18,-1.01,27.86,0.0
106,2026,2026-09,2026-08-31,NYSE,Uber Technologies Inc. Common Stock,UBER,154519.7,78.81999969482422,12.02,11.96,4.51,-15.93,0.0
107,2026,2026-09,2026-08-31,NYSE,ServiceNow Inc. Common Stock,NOW,153021.7,144.7100067138672,30.1,16.35,33.98,-21.14,0.0
108,2026,2026-09,2026-08-31,NYSE,Danaher Corporation Common Stock,DHR,150129.7,216.07000732421875,10.82,18.28,2.58,4.98,0.0
109,2026,2026-09,2026-08-31,NASDAQ,Booking Holdings Inc. Common Stock,BKNG,149592.3,205.6300048828125,6.6,22.82,21.26,-8.19,0.0
110,2026,2026-09,2026-08-31,NYSE,TJX Companies Inc. (The) Common Stock,TJX,147931.0,135.1199951171875,-14.12,-12.68,-16.42,-1.09,0.0
111,2026,2026-09,2026-08-31,NYSE,Sony Group Corporation American Depositary Shares,SONY,145092.3,24.850000381469727,6.84,15.21,7.76,-9.7,0.0
112,2026,2026-09,2026-08-31,NYSE,Unilever PLC American Depositary Shares (each representing One Ordinary Share),UL,141710.6,65.06999969482422,2.62,15.27,-11.77,-8.57,0.0
113,2026,2026-09,2026-08-31,NASDAQ,Vertex Pharmaceuticals Incorporated Common Stock,VRTX,138014.5,541.6900024414062,13.54,21.04,9.03,38.53,0.0
114,2026,2026-09,2026-08-31,NYSE,Bristol-Myers Squibb Company Common Stock,BMY,136473.8,66.58000183105469,1.94,16.44,6.75,41.12,0.0
115,2026,2026-09,2026-08-31,NASDAQ,Monster Beverage Corporation,MNST,134939.6,46.86000061035156,-2.76,-46.8,-45.06,-24.92,0.0
116,2026,2026-09,2026-08-31,NASDAQ,Intuitive Surgical Inc. Common Stock,ISRG,133136.4,372.6000061035156,5.45,-12.26,-26.0,-21.28,0.0
117,2026,2026-09,2026-08-31,NYSE,Newmont Corporation,NEM,132828.4,127.9800033569336,36.57,16.55,-1.55,72.02,0.0
118,2026,2026-09,2026-08-31,NYSE,Prologis Inc. Common Stock,PLD,132654.8,140.6999969482422,-2.7,-1.93,-1.31,23.66,0.0
119,2026,2026-09,2026-08-31,NYSE,Mizuho Financial Group Inc. Sponosred ADR (Japan),MFG,132459.9,10.640000343322754,1.92,18.62,19.95,61.21,0.0
120,2026,2026-09,2026-08-31,NYSE,Capital One Financial Corporation Common Stock,COF,131598.6,215.6699981689453,3.19,14.76,10.24,-5.08,0.0
121,2026,2026-09,2026-08-31,NYSE,Chubb Limited  Common Stock,CB,130631.8,339.9200134277344,-3.07,9.04,-0.28,23.58,0.0
122,2026,2026-09,2026-08-31,NYSE,Lockheed Martin Corporation Common Stock,LMT,129526.7,563.8499755859375,-3.24,6.3,-14.32,23.75,0.0
123,2026,2026-09,2026-08-31,NYSE,Rio Tinto Plc Common Stock,RIO,128744.0,103.30000305175781,6.66,-2.9,3.99,64.7,0.0
124,2026,2026-09,2026-08-31,NYSE,S&P Global Inc. Common Stock,SPGI,128485.6,442.8900146484375,7.52,10.41,5.94,-14.64,0.0
125,2026,2026-09,2026-08-31,NYSE,Corning Incorporated Common Stock,GLW,128114.3,148.97999572753906,7.76,-17.76,-0.93,122.26,0.0
126,2026,2026-09,2026-08-31,NYSE,Progressive Corporation (The) Common Stock,PGR,126785.6,218.63999938964844,3.42,14.83,2.33,-11.5,0.0
127,2026,2026-09,2026-08-31,NYSE,Accenture plc Class A Ordinary Shares (Ireland),ACN,126666.7,189.61000061035156,14.28,1.36,-9.16,-27.06,0.0
128,2026,2026-09,2026-08-31,NASDAQ,Fortinet Inc. Common Stock,FTNT,125413.7,166.0,2.5,20.32,110.05,110.74,0.0
129,2026,2026-09,2026-08-31,NYSE,Petroleo Brasileiro S.A. Petrobras ADS,PBR,124698.5,18.530000686645508,-4.48,-1.28,11.43,49.44,0.0
130,2026,2026-09,2026-08-31,NYSE,Stryker Corporation Common Stock,SYK,124201.0,330.69000244140625,1.53,8.39,-14.65,-15.51,0.0
131,2026,2026-09,2026-08-31,NYSE,Parker-Hannifin Corporation Common Stock,PH,123455.9,995.02001953125,1.89,17.81,-1.4,31.04,0.0
132,2026,2026-09,2026-08-31,NASDAQ,Starbucks Corporation Common Stock,SBUX,121125.0,107.8499984741211,2.47,8.76,10.03,22.29,0.0
133,2026,2026-09,2026-08-31,NYSE,British American Tobacco  Industries p.l.c. Common Stock ADR,BTI,120468.6,56.130001068115234,-7.45,-9.16,-10.41,-1.34,0.0
134,2026,2026-09,2026-08-31,NYSE,CVS Health Corporation Common Stock,CVS,120108.1,93.05999755859375,-10.89,2.29,16.47,27.22,0.0
135,2026,2026-09,2026-08-31,NASDAQ,PDD Holdings Inc. American Depositary Shares,PDD,119565.3,85.69000244140625,-3.24,1.48,-17.39,-28.72,0.0
136,2026,2026-09,2026-08-31,NYSE,Bank Of Montreal Common Stock,BMO,118731.0,171.86000061035156,-4.23,6.08,19.41,42.03,0.0
137,2026,2026-09,2026-08-31,NYSE,Sumitomo Mitsui Financial Group Inc Unsponsored American Depositary Shares (Japan),SMFG,117865.3,25.920000076293945,0.15,17.98,15.51,57.86,0.0
138,2026,2026-09,2026-08-31,NYSE,HDFC Bank Limited Common Stock,HDB,116476.5,23.079999923706055,-3.55,-2.94,-27.54,-35.13,0.0
139,2026,2026-09,2026-08-31,NASDAQ,Adobe Inc. Common Stock,ADBE,116384.0,291.5199890136719,16.42,12.46,11.09,-18.27,0.0
140,2026,2026-09,2026-08-31,NYSE,Medtronic plc. Ordinary Shares,MDT,116030.3,91.2300033569336,6.84,23.6,-6.58,-1.7,0.0
141,2026,2026-09,2026-08-31,NYSE,Snowflake Inc. Common Stock,SNOW,114873.6,328.0,11.84,28.35,94.76,37.43,0.0
142,2026,2026-09,2026-08-31,NYSE,Lowe's Companies Inc. Common Stock,LOW,114847.8,208.0500030517578,0.12,-2.94,-21.36,-19.38,0.0
143,2026,2026-09,2026-08-31,NYSE,Altria Group Inc.,MO,114344.1,68.6500015258789,0.47,-1.34,-0.56,2.14,0.0
144,2026,2026-09,2026-08-31,NASDAQ,Automatic Data Processing Inc. Common Stock,ADP,113680.7,287.4800109863281,7.89,29.59,34.11,-5.45,0.0
145,2026,2026-09,2026-08-31,NYSE,Bank Nova Scotia Halifax Pfd 3 Ordinary Shares,BNS,112447.3,92.38999938964844,5.26,15.42,21.97,47.92,0.0
146,2026,2026-09,2026-08-31,NYSE,BP p.l.c. Common Stock,BP,112230.7,42.150001525878906,-6.79,0.67,8.47,19.64,0.0
147,2026,2026-09,2026-08-31,NYSE,Spotify Technology S.A. Ordinary Shares,SPOT,111894.7,547.510009765625,9.52,10.01,6.33,-19.71,0.0
148,2026,2026-09,2026-08-31,NYSE,Enbridge Inc Common Stock,ENB,110424.5,50.20000076293945,-7.82,-8.29,-5.53,3.85,0.0
149,2026,2026-09,2026-08-31,NASDAQ,Airbnb Inc. Class A Common Stock,ABNB,109709.5,189.42999267578125,25.02,42.1,40.2,45.12,0.0
150,2026,2026-09,2026-08-31,NYSE,The Bank of New York Mellon Corporation Common Stock,BNY,109429.1,162.5,3.95,16.55,36.44,53.88,0.0
151,2026,2026-09,2026-08-31,NYSE,Freeport-McMoRan Inc. Common Stock,FCX,108764.0,76.44999694824219,22.07,16.34,12.29,72.18,0.0
152,2026,2026-09,2026-08-31,NYSE,ICICI Bank Limited Common Stock,IBN,108690.5,29.8799991607666,-0.37,13.92,-2.06,-5.86,0.0
153,2026,2026-09,2026-08-31,NYSE,Cloudflare Inc. Class A Common Stock,NET,108643.5,299.8399963378906,7.48,23.99,74.13,43.66,0.0
154,2026,2026-09,2026-08-31,NASDAQ,Sanofi ADS,SNY,108187.6,44.81999969482422,4.04,2.63,-7.89,-9.42,0.0
155,2026,2026-09,2026-08-31,NYSE,Blackstone Inc. Common Stock,BX,107519.5,142.38999938964844,11.46,21.73,25.6,-16.93,0.0
156,2026,2026-09,2026-08-31,NYSE,Equinor ASA,EQNR,107011.6,41.38999938964844,0.71,15.0,38.75,68.18,0.0
157,2026,2026-09,2026-08-31,NYSE,Marathon Petroleum Corporation Common Stock,MPC,104837.5,368.8299865722656,16.55,48.26,86.08,105.24,0.0
158,2026,2026-09,2026-08-31,NASDAQ,Applovin Corporation Class A Common Stock,APP,104431.2,317.760009765625,-19.74,-48.17,-26.91,-33.6,0.0
159,2026,2026-09,2026-08-31,NYSE,Canadian Imperial Bank of Commerce Common Stock,CM,103848.9,114.33000183105469,-3.56,5.14,13.24,47.92,0.0
160,2026,2026-09,2026-08-31,NYSE,Canadian Natural Resources Limited Common Stock,CNQ,103586.8,48.9900016784668,2.75,7.98,11.93,54.79,0.0
161,2026,2026-09,2026-08-31,NYSE,Valero Energy Corporation Common Stock,VLO,103342.9,352.3599853515625,12.61,43.93,72.19,131.8,0.0
162,2026,2026-09,2026-08-31,NASDAQ,Equinix Inc. Common Stock REIT,EQIX,103281.6,1044.4100341796875,2.47,-2.21,7.2,32.84,0.0
163,2026,2026-09,2026-08-31,NYSE,McKesson Corporation Common Stock,MCK,103219.8,893.3900146484375,4.34,20.33,-9.52,30.11,0.0
164,2026,2026-09,2026-08-31,NYSE,Agnico Eagle Mines Limited Common Stock,AEM,103090.7,206.25,41.98,12.61,-18.02,43.06,0.0
165,2026,2026-09,2026-08-31,NASDAQ,CME Group Inc. Class A Common Stock,CME,102659.9,285.79998779296875,6.73,4.48,-10.55,7.24,0.0
166,2026,2026-09,2026-08-31,NYSE,ING Group N.V. Common Stock,ING,102514.1,35.2400016784668,0.89,13.9,22.49,47.88,0.0
167,2026,2026-09,2026-08-31,NYSE,GSK plc American Depositary Shares (Each representing two Ordinary Shares),GSK,101762.7,50.81999969482422,-1.68,0.55,-14.05,28.11,0.0
168,2026,2026-09,2026-08-31,NYSE,Southern Company (The) Common Stock,SO,101231.9,88.25,-6.65,-4.13,-9.38,-4.39,0.0
169,2026,2026-09,2026-08-31,NYSE,Brookfield Corporation Class A Limited Voting Shares,BN,101019.9,41.33000183105469,-2.82,-9.34,-5.73,-5.67,0.0
170,2026,2026-09,2026-08-31,NYSE,General Dynamics Corporation Common Stock,GD,100471.4,379.32000732421875,-1.07,9.37,6.24,16.87,0.0
171,2026,2026-09,2026-08-31,NASDAQ,DoorDash Inc. Class A Common Stock,DASH,100412.5,236.74000549316406,20.69,48.62,34.15,-3.47,0.0
172,2026,2026-09,2026-08-31,NYSE,Vertiv Holdings LLC Class A Common Stock,VRT,99604.1,257.0799865722656,6.42,-18.57,0.86,101.55,0.0
173,2026,2026-09,2026-08-31,NYSE,Ferrari N.V. Common Shares,RACE,98865.0,420.5400085449219,6.77,23.6,10.69,-11.88,0.0
174,2026,2026-09,2026-08-31,NYSE,KKR & Co. Inc. Common Stock,KKR,98488.6,108.68000030517578,7.15,13.28,23.95,-22.09,0.0
175,2026,2026-09,2026-08-31,NYSE,Phillips 66 Common Stock,PSX,98390.6,244.00999450683594,15.27,38.74,58.11,82.67,0.0
176,2026,2026-09,2026-08-31,NASDAQ,Intuit Inc. Common Stock,INTU,98281.8,358.05999755859375,13.29,8.0,-12.46,-46.32,0.0
177,2026,2026-09,2026-08-31,NASDAQ,MercadoLibre Inc. Common Stock,MELI,98159.1,1966.25,4.7,15.96,11.87,-20.49,0.0
