투자연도,투자월,종목선정일,시장,종목명,종목코드,시가총액,종가,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률
2026,2026-07,2026-06-30,NASDAQ,Rocket Lab Corp,RKLB,0,98.01000213623048,-31.69,52.62,40.5,174.0,-1.17
2026,2026-07,2026-06-30,NASDAQ,argenx SE ADR,ARGX,0,912.4600219726562,9.15,24.95,8.5,65.53,1.28
2026,2026-07,2026-06-30,NASDAQ,Warner Bros Discovery Inc,WBD,0,27.1299991607666,0.44,-1.2,-5.86,136.74,-0.68
2026,2026-07,2026-06-30,NASDAQ,Honeywell International Inc,HON,0,227.8000030517578,-4.23,0.78,16.77,3.79,2.66
2026,2026-07,2026-06-30,NASDAQ,Cintas Corp,CTAS,0,169.0800018310547,-1.27,-0.04,-10.1,-24.14,6.64
2026,2026-07,2026-06-30,NASDAQ,Flex Ltd,FLEX,0,159.55999755859375,5.82,143.75,164.08,219.63,-15.56
2026,2026-07,2026-06-30,NASDAQ,Paccar Inc,PCAR,0,119.5999984741211,8.36,3.55,9.21,25.82,-0.52
2026,2026-07,2026-06-30,NASDAQ,Lumentum Holdings Inc,LITE,0,851.4000244140625,-0.42,21.15,130.99,795.64,-15.12
2026,2026-07,2026-06-30,NASDAQ,Regeneron Pharmaceuticals Inc,REGN,0,631.8099975585938,2.77,-18.23,-18.15,20.34,4.93
2026,2026-07,2026-06-30,NASDAQ,Fastenal Co,FAST,0,47.400001525878906,7.24,2.16,18.12,12.86,1.19
2026,2026-07,2026-06-30,NASDAQ,Cerebras Systems Inc,CBRS,0,216.1600036621093,-8.79,0.0,0.0,0.0,-7.3
2026,2026-07,2026-06-30,NASDAQ,Credo Technology Group Holding Ltd,CRDO,0,245.67999267578125,4.09,161.72,70.74,165.34,-11.05
2026,2026-07,2026-06-30,NASDAQ,CoreWeave Inc,CRWV,0,95.51000213623048,-12.8,23.29,33.38,-41.43,-17.88
2026,2026-07,2026-06-30,NASDAQ,Medline Inc,MDLN,0,39.61000061035156,8.34,-10.99,-5.69,0.0,9.51
2026,2026-07,2026-06-30,NASDAQ,Ferrovial NV,FER,0,68.38999938964844,0.56,5.13,5.85,27.66,-1.3
2026,2026-07,2026-06-30,NASDAQ,eBay Inc,EBAY,0,110.8000030517578,1.4,21.73,27.21,48.8,2.77
2026,2026-07,2026-06-30,NASDAQ,Baker Hughes Co,BKR,0,56.310001373291016,-11.85,-7.76,23.65,46.87,-4.9
2026,2026-07,2026-06-30,NASDAQ,Xcel Energy Inc,XEL,0,81.9800033569336,3.12,3.2,10.99,20.38,2.07
2026,2026-07,2026-06-30,NASDAQ,Diamondback Energy Inc,FANG,0,180.5399932861328,-5.71,-8.72,20.1,31.4,-2.13
2026,2026-07,2026-06-30,NASDAQ,GlobalFoundries Inc,GFS,0,81.0,1.29,82.1,131.96,112.04,-15.25
2026,2026-07,2026-06-30,NASDAQ,Electronic Arts Inc,EA,0,205.0500030517578,1.65,0.58,0.35,28.4,0.08
2026,2026-07,2026-06-30,NASDAQ,Axon Enterprise Inc,AXON,0,510.6000061035156,13.79,20.23,-10.09,-38.33,6.5
2026,2026-07,2026-06-30,NASDAQ,Microchip Technology Inc,MCHP,0,89.05999755859375,-5.91,37.84,39.77,26.56,-7.19
2026,2026-07,2026-06-30,NASDAQ,Old Dominion Freight Line Inc,ODFL,0,219.69000244140625,-2.43,12.43,40.11,35.36,0.48
2026,2026-07,2026-06-30,NASDAQ,Keurig Dr Pepper Inc,KDP,0,33.5,11.56,27.23,19.6,1.33,1.74
2026,2026-07,2026-06-30,NASDAQ,Take-Two Interactive Software Inc,TTWO,0,247.1499938964844,10.26,25.14,-3.47,1.77,2.0
2026,2026-07,2026-06-30,NASDAQ,Autodesk Inc,ADSK,0,195.2400054931641,-15.59,-18.45,-34.04,-36.93,6.72
2026,2026-07,2026-06-30,NASDAQ,Nasdaq Inc,NDAQ,0,76.8499984741211,-16.94,-9.47,-20.88,-14.06,7.41
2026,2026-07,2026-06-30,NASDAQ,Alnylam Pharmaceuticals Inc,ALNY,0,293.5199890136719,-2.8,-11.29,-26.19,-9.99,3.9
2026,2026-07,2026-06-30,NASDAQ,United Airlines Holdings Inc,UAL,0,135.19000244140625,17.76,46.83,20.9,69.77,-1.96
2026,2026-07,2026-06-30,NASDAQ,Exelon Corp,EXC,0,47.150001525878906,3.31,-3.81,8.17,8.59,2.7
2026,2026-07,2026-06-30,NASDAQ,Coca-Cola Europacific Partners PLC,CCEP,0,101.37999725341795,11.79,11.81,11.78,9.34,6.54
2026,2026-07,2026-06-30,NASDAQ,IDEXX Laboratories Inc,IDXX,0,535.9299926757812,-4.9,-4.62,-20.78,-0.08,5.96
2026,2026-07,2026-06-30,NASDAQ,ON Semiconductor Corp,ON,0,88.56999969482422,-26.57,43.04,63.56,68.99,-3.51
2026,2026-07,2026-06-30,NASDAQ,Revolution Medicines Inc,RVMD,0,192.6199951171875,22.31,98.07,141.83,423.57,1.05
2026,2026-07,2026-06-30,NASDAQ,Baidu Inc ADR,BIDU,0,112.18000030517578,-17.09,0.68,-14.14,30.81,-0.87
2026,2026-07,2026-06-30,NASDAQ,Paypal Holdings Inc,PYPL,0,44.380001068115234,-0.83,-1.88,-23.98,-40.29,5.3
2026,2026-07,2026-06-30,NASDAQ,Coinbase Global Inc,COIN,0,151.64999389648438,-19.77,-13.15,-32.94,-56.73,13.2
2026,2026-07,2026-06-30,NASDAQ,Huntington Bancshares Inc,HBAN,0,17.81999969482422,8.92,13.87,2.71,6.32,0.73
2026,2026-07,2026-06-30,NASDAQ,Thomson Reuters Corp,TRI,0,82.66000366210938,-4.45,-8.14,-37.33,-58.9,9.23
2026,2026-07,2026-06-30,NASDAQ,Natera Inc,NTRA,0,272.3099975585937,21.91,36.16,18.87,61.19,2.9
2026,2026-07,2026-06-30,NASDAQ,Kimberly-Clark Corp,KMB,0,109.91000366210938,12.61,13.93,8.94,-14.75,4.51
2026,2026-07,2026-06-30,NASDAQ,Arch Capital Group Ltd,ACGL,0,98.05999755859376,9.76,2.16,2.23,7.7,5.3
2026,2026-07,2026-06-30,NASDAQ,Elbit Systems Ltd,ESLT,0,732.6599731445312,-16.83,-13.71,26.82,62.99,5.87
2026,2026-07,2026-06-30,NASDAQ,Telefonaktiebolaget LM Ericsson ADR,ERIC,0,11.149999618530272,-14.62,-1.06,15.54,31.49,-3.23
2026,2026-07,2026-06-30,NASDAQ,Steel Dynamics Inc,STLD,0,234.22000122070312,-9.97,30.12,38.22,82.97,-3.95
2026,2026-07,2026-06-30,NASDAQ,Ryanair Holdings PLC ADR,RYAAY,0,64.31999969482422,5.82,11.28,-10.9,11.53,1.14
2026,2026-07,2026-06-30,NASDAQ,Northern Trust Corp,NTRS,0,174.91000366210938,5.72,25.32,28.05,37.95,1.53
2026,2026-07,2026-06-30,NASDAQ,Royalty Pharma PLC,RPRX,0,57.09000015258789,2.39,19.01,47.75,58.45,3.03
2026,2026-07,2026-06-30,NASDAQ,JD.com Inc ADR,JD,0,25.25,-12.42,-14.61,-12.02,-22.64,4.47
2026,2026-07,2026-06-30,NASDAQ,Roper Technologies Inc,ROP,0,334.79998779296875,2.85,-5.39,-24.79,-40.94,7.63
2026,2026-07,2026-06-30,NASDAQ,Strategy Inc,MSTR,0,92.68000030517578,-41.74,-25.74,-39.01,-77.07,15.92
2026,2026-07,2026-06-30,NASDAQ,MKS Incorporated,MKSI,0,416.0,28.29,81.02,160.33,318.68,-17.81
2026,2026-07,2026-06-30,NASDAQ,Paychex Inc,PAYX,0,99.80999755859376,2.92,8.35,-11.03,-31.38,8.16
2026,2026-07,2026-06-30,NASDAQ,Vodafone Group PLC ADR,VOD,0,13.6899995803833,-8.49,-8.85,3.63,28.42,-0.6
2026,2026-07,2026-06-30,NASDAQ,Biogen Inc,BIIB,0,216.6300048828125,10.53,18.16,23.09,72.49,0.03
2026,2026-07,2026-06-30,NASDAQ,Workday Inc,WDAY,0,123.58000183105467,-15.47,-4.88,-42.46,-48.51,10.6
2026,2026-07,2026-06-30,NASDAQ,BeOne Medicines AG ADR,ONC,0,289.989990234375,0.72,-2.35,-4.55,19.8,4.45
2026,2026-07,2026-06-30,NASDAQ,GE Healthcare Technologies Inc,GEHC,0,65.05000305175781,4.35,-8.61,-20.69,-12.18,2.43
2026,2026-07,2026-06-30,NASDAQ,NetApp Inc,NTAP,0,155.05999755859375,-11.03,51.44,44.79,45.53,-0.38
2026,2026-07,2026-06-30,NASDAQ,Tower Semiconductor Ltd,TSEM,0,255.58999633789065,0.14,45.65,117.67,489.6,-15.96
2026,2026-07,2026-06-30,NASDAQ,MACOM Technology Solutions Holdings Inc,MTSI,0,372.5899963378906,2.18,67.78,117.53,160.03,-15.28
2026,2026-07,2026-06-30,NASDAQ,EchoStar Corp,ECHO,0,100.83999633789062,-21.94,-13.86,-7.23,264.04,0.0
2026,2026-07,2026-06-30,NASDAQ,Innio NV,INIO,0,38.31999969482422,0.0,0.0,0.0,0.0,-6.57
2026,2026-07,2026-06-30,NASDAQ,Cincinnati Financial Corp,CINF,0,186.1600036621093,18.26,18.31,13.98,25.01,3.72
2026,2026-07,2026-06-30,NASDAQ,Kraft Heinz Co,KHC,0,24.190000534057617,0.75,7.56,-0.25,-6.31,7.41
2026,2026-07,2026-06-30,NASDAQ,Expedia Group Inc,EXPE,0,265.2799987792969,17.49,14.89,-6.36,57.27,5.01
2026,2026-07,2026-06-30,NASDAQ,FTAI Aviation Ltd,FTAI,0,263.6199951171875,1.26,7.6,33.92,129.16,-8.31
2026,2026-07,2026-06-30,NASDAQ,Caseys General Stores Inc,CASY,0,780.239990234375,1.71,7.2,41.17,52.91,0.33
2026,2026-07,2026-06-30,NASDAQ,Affirm Holdings Inc,AFRM,0,81.79000091552734,11.05,78.5,9.89,18.3,3.72
2026,2026-07,2026-06-30,NASDAQ,Symbotic Inc,SYM,0,42.13999938964844,-9.23,-20.79,-29.18,8.47,-4.92
2026,2026-07,2026-06-30,NYSE,Berkshire Hathaway Inc Class B,BRK-B,0,496.0,4.54,3.51,-1.32,2.11,1.48
2026,2026-07,2026-06-30,NYSE,Taiwan Semiconductor Manufacturing Co Ltd ADR,TSM,0,455.1000061035156,8.76,34.66,49.76,100.94,-9.09
2026,2026-07,2026-06-30,NASDAQ,Moderna Inc,MRNA,0,69.69999694824219,47.7,37.2,136.35,152.63,13.89
2026,2026-07,2026-06-30,NASDAQ,Entegris Inc,ENTG,0,171.0399932861328,23.24,45.89,103.01,112.08,-18.46
