종목선정일,시장,종목명,종목코드,시가총액,기준가,1개월(%),3개월(%),6개월(%),12개월(%),3-1개월(%),6-1개월(%),12-1개월(%),모멘텀스코어,이번달수익률,전달순위
2026-03-31,NYSE,International Business Machines Corp,IBM,0,242.39,0.9,-18.2,-14.1,-2.5,-18.91,-14.87,-3.4,-18.4,-4.8,
2026-03-31,NYSE,Uber Technologies Inc,UBER,0,71.93,-4.6,-12,-26.6,-1.3,-7.7,-23.02,3.51,-18.5,-2.02,
2026-03-31,NASDAQ,Constellation Energy Corp,CEG,0,279.25,-15.3,-21,-15.1,38.5,-6.62,0.25,63.61,-19.2,2.6,
2026-03-31,NASDAQ,Copart Inc,CPRT,0,33.2,-12.8,-15.2,-26.2,-41.3,-2.71,-15.3,-32.69,-19.8,-1.33,
2026-03-31,NASDAQ,MercadoLibre Inc,MELI,0,1729.02,-1.6,-14.2,-26,-11.4,-12.74,-24.79,-9.91,-20.2,2.6,
2026-03-31,NASDAQ,CrowdStrike Holdings Inc,CRWD,0,390.41,5,-16.7,-20.4,10.7,-20.65,-24.14,5.5,-20.3,-2.92,
2026-03-31,NYSE,UnitedHealth Group Inc,UNH,0,270.59,-7.7,-18,-21.6,-48.3,-11.16,-15.07,-44.01,-20.5,12.47,
2026-03-31,NYSE,Alibaba Group Holding Ltd ADR,BABA,0,125.46,-12.9,-14.4,-29.8,-5.1,-1.69,-19.37,8.98,-20.7,1.49,
2026-03-31,NYSE,Abbott Laboratories,ABT,0,102.67,-11.8,-18.1,-23.3,-22.6,-7.14,-13.13,-12.29,-20.8,-2.31,
2026-03-31,NASDAQ,Palantir Technologies Inc,PLTR,0,146.28,6.6,-17.7,-19.8,73.3,-22.82,-24.79,62.55,-21,-12.46,
2026-03-31,NASDAQ,Cognizant Technology Solutions Corp,CTSH,0,61.35,-4.8,-26.1,-8.5,-19.8,-22.37,-3.94,-15.78,-21.2,-5.59,
2026-03-31,NYSE,Capital One Financial Corp,COF,0,182.43,-6.8,-24.7,-14.2,1.7,-19.28,-7.97,9.11,-22.3,5.79,
2026-03-31,NASDAQ,Alnylam Pharmaceuticals Inc,ALNY,0,330.87,-0.6,-16.8,-27.4,22.5,-16.28,-26.99,23.29,-22.7,-2.65,
2026-03-31,NASDAQ,Autodesk Inc,ADSK,0,239.4,-2.6,-19.1,-24.6,-8.6,-16.94,-22.6,-6.08,-23,-8.75,
2026-03-31,NYSE,Spotify Technology SA,SPOT,0,484.91,-5.8,-16.5,-30.5,-11.8,-11.33,-26.23,-6.38,-23.2,-1.84,
2026-03-31,NASDAQ,NetEase Inc ADR,NTES,0,111.94,-2.6,-18.7,-26.4,8.8,-16.46,-24.36,11.71,-23.3,0.7,
2026-03-31,NASDAQ,Paychex Inc,PAYX,0,92.12,-1.6,-17.9,-27.3,-40.3,-16.52,-26.12,-39.3,-23.3,-7.11,
2026-03-31,NYSE,Sony Group Corp ADR,SONY,0,20.7,-10.2,-19.1,-28.1,-18.5,-9.92,-19.9,-9.18,-23.6,1.69,
2026-03-31,NASDAQ,Booking Holdings Inc,BKNG,0,168.41,-0.7,-21.4,-22,-8.6,-20.84,-21.48,-7.98,-23.7,3,
2026-03-31,NASDAQ,Take-Two Interactive Software Inc,TTWO,0,197.5,-6.6,-22.9,-23.6,-4.7,-17.4,-18.15,2.04,-24.8,-0.22,
2026-03-31,NASDAQ,Qualcomm Inc,QCOM,0,128.78,-9.5,-24.7,-22.6,-16.2,-16.77,-14.43,-7.32,-25.4,-0.56,
