종목선정일,시장,종목명,종목코드,시가총액,기준가,1개월(%),3개월(%),6개월(%),12개월(%),3-1개월(%),6-1개월(%),12-1개월(%),모멘텀스코어,이번달수익률,전달순위
2026-04-30,NYSE,Carvana Co,CVNA,0,79.16,25.9,-1.3,29.1,62.0,-21.62,2.56,28.66,8.1,-16.6,
2026-04-30,NYSE,Morgan Stanley,MS,0,190.59,15.8,4.3,16.2,65.1,-9.97,0.35,42.58,7.9,1.1,178.0
2026-04-30,NASDAQ,Interactive Brokers Group Inc,IBKR,0,79.5,18.5,6.2,13.0,85.0,-10.43,-4.68,56.11,7.7,8.33,142.0
2026-04-30,NYSE,Novartis AG ADR,NVS,0,147.85,-3.2,-0.6,19.4,30.3,2.74,23.39,34.59,7.7,0.88,77.0
2026-04-30,NASDAQ,Amgen Inc,AMGN,0,346.25,-1.6,1.3,16.0,19.0,2.92,17.9,20.94,7.5,-6.31,78.0
2026-04-30,NASDAQ,Warner Bros Discovery Inc,WBD,0,27.05,-1.5,-1.8,20.5,212.0,-0.29,22.32,216.72,7.1,0.18,90.0
2026-04-30,NASDAQ,Keurig Dr Pepper Inc,KDP,0,29.4,11.7,7.1,8.2,-15.0,-4.05,-3.06,-23.88,7.1,0.1,171.0
2026-04-30,NYSE,Southern Co,SO,0,96.7,0.2,8.3,2.8,5.2,8.07,2.64,5.04,6.9,-3.09,117.0
2026-04-30,NASDAQ,Xcel Energy Inc,XEL,0,82.95,4.4,9.1,2.2,17.3,4.44,-2.13,12.36,6.8,-5.85,132.0
2026-04-30,NYSE,Agnico Eagle Mines Ltd,AEM,0,188.21,-7.3,-1.2,17.0,60.1,6.55,26.22,72.63,6.7,-4.78,56.0
2026-04-30,NYSE,AstraZeneca PLC,AZN,0,187.37,-5.0,1.0,13.7,30.5,6.3,19.67,37.36,6.7,-1.84,71.0
2026-04-30,NYSE,Mitsubishi UFJ Financial Group Inc ADR,MUFG,0,17.95,5.8,-0.6,18.6,42.0,-5.98,12.16,34.26,6.5,6.91,116.0
2026-04-30,NYSE,Duke Energy Corp,DUK,0,129.55,-1.1,6.8,4.2,6.2,7.9,5.34,7.31,6.5,-5.18,104.0
2026-04-30,NASDAQ,Fastenal Co,FAST,0,44.93,-3.2,3.6,9.2,11.0,7.01,12.76,14.61,6.5,-2.07,115.0
2026-04-30,NASDAQ,Zoom Communications Inc,ZM,0,97.15,20.8,5.5,11.4,25.3,-12.71,-7.84,3.68,6.3,1.77,
2026-04-30,NYSE,GSK plc ADR,GSK,0,52.31,-5.2,1.4,11.6,31.3,6.96,17.78,38.49,6.1,-3.92,63.0
2026-04-30,NYSE,United Parcel Service Inc,UPS,0,108.8,10.6,2.4,12.8,14.2,-7.38,2.03,3.23,5.8,-12.2,118.0
2026-04-30,NASDAQ,Paccar Inc,PCAR,0,118.8,2.9,-3.3,20.7,31.7,-6.03,17.38,28.03,5.7,-5.99,97.0
2026-04-30,NASDAQ,Mondelez International Inc,MDLZ,0,61.44,6.6,5.1,6.9,-9.8,-1.42,0.31,-15.4,5.7,0.33,144.0
2026-04-30,NASDAQ,PepsiCo Inc,PEP,0,158.49,2.1,3.2,8.5,16.9,1.08,6.3,14.54,5.4,-5.95,101.0
2026-04-30,NASDAQ,Ferrovial SE,FER,0,68.91,5.9,1.4,11.6,38.8,-4.32,5.38,31.02,5.0,-2.5,126.0
2026-04-30,NYSE,Goldman Sachs Group Inc,GS,0,923.77,9.2,-1.2,17.0,68.7,-9.56,7.17,54.5,5.0,2.45,167.0
2026-04-30,NYSE,Parker-Hannifin Corp,PH,0,909.42,1.6,-2.8,17.7,50.3,-4.34,15.84,47.96,4.9,-5.61,110.0
2026-04-30,NASDAQ,Cadence Design Systems Inc,CDNS,0,329.59,18.6,11.2,-2.7,10.7,-6.24,-17.96,-6.67,4.9,4.98,240.0
2026-04-30,NYSE,Pfizer Inc,PFE,0,26.7,-4.9,1.0,8.3,9.4,6.2,13.91,15.03,4.5,-5.13,91.0
2026-04-30,NASDAQ,Coca-Cola Europacific Partners PLC,CCEP,0,94.57,4.3,3.1,6.5,4.2,-1.12,2.07,-0.08,4.3,-2.28,149.0
2026-04-30,NYSE,Banco Santander SA ADR,SAN,0,12.19,8.1,-4.4,20.1,74.1,-11.53,11.13,61.14,4.2,-2.71,156.0
2026-04-30,NYSE,ING Groep NV ADR,ING,0,28.93,11.1,-1.6,16.0,49.4,-11.36,4.49,34.49,4.2,2.07,180.0
2026-04-30,NYSE,Southern Copper Corp,SCCO,0,171.69,-0.2,-9.1,25.7,98.6,-8.87,25.95,99.02,3.9,1.12,30.0
