순위,시장,종목코드,종목명,시가총액,종목선정일,종가,수정종가,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률
284,NYSE,O,REALTY INCOME CORP,57143.1,2026-05-29,61.28,61.28,-4.19,-7.34,9.2,14.78,4.45
285,NYSE,HPE,HEWLETT PACKARD ENTERPRISE CO,57107.8,2026-05-29,43.04,43.04,49.6,101.66,99.13,155.17,1.0
286,NYSE,NUE,NUCOR CORP,56935.2,2026-05-29,250.0,250.0,10.97,41.81,57.81,132.06,-9.03
287,NYSE,OXY,OCCIDENTAL PETROLEUM CORP,56326.2,2026-05-29,56.63,56.63,-6.52,7.21,36.27,41.85,-8.74
288,NYSE,UMC,UNITED MICROELECTRONICS CORP,55841.1,2026-05-29,22.18,22.18,69.83,112.45,197.32,209.3,7.44
289,NASDAQ,MSTR,STRATEGY INC,55752.8,2026-05-29,159.09,159.09,-3.84,22.85,-10.21,-56.89,-38.8
290,NYSE,MPLX,MPLX LP,55455.2,2026-05-29,54.65,54.65,-0.94,-5.42,4.61,15.94,5.23
291,NYSE,SE,SEA LTD,55366.7,2026-05-29,90.53,90.53,6.66,-16.52,-34.88,-43.55,15.13
292,NASDAQ,FLEX,FLEX LTD,55242.5,2026-05-29,150.78,150.78,64.7,139.26,155.08,256.45,-12.77
293,NYSE,TRGP,TARGA RESOURCES CORP,54749.2,2026-05-29,255.07,255.07,-1.93,8.69,46.92,65.14,7.35
294,NYSE,DAL,DELTA AIR LINES INC,54188.9,2026-05-29,82.48,82.48,21.63,25.87,29.36,72.49,7.46
295,NYSE,VST,VISTRA CORP,54026.7,2026-05-29,160.23,160.23,1.51,-7.71,-10.15,0.32,-2.81
296,NASDAQ,FANG,DIAMONDBACK ENERGY INC,53865.9,2026-05-29,191.48,191.48,-6.37,11.25,26.92,45.96,-5.7
297,NYSE,PSA,PUBLIC STORAGE,53311.5,2026-05-29,303.69,303.69,0.41,-0.07,12.99,2.67,8.23
298,NYSE,MET,METLIFE INC,53205.8,2026-05-29,82.69,82.69,4.01,15.6,9.62,8.39,10.86
299,NYSE,ALL,ALLSTATE CORP,53051.9,2026-05-29,206.09,205.021,-5.14,-3.44,-2.28,0.15,22.01
300,NYSE,CARR,CARRIER GLOBAL CORP,53049.2,2026-05-29,63.87,63.87,-4.57,-0.46,17.31,-8.97,7.52
301,NYSE,OKE,ONEOK INC,52885.0,2026-05-29,83.94,83.94,-8.14,2.61,18.29,9.64,8.02
302,NYSE,MT,ARCELORMITTAL,52829.7,2026-05-29,69.41,69.41,21.61,6.77,61.72,129.6,-9.02
303,NYSE,INFY,INFOSYS LTD,52538.8,2026-05-29,12.65,12.65,1.52,-12.4,-27.63,-29.4,-10.91
304,NYSE,COR,CENCORA INC,52407.0,2026-05-29,269.36,269.36,-12.34,-27.45,-26.7,-6.81,13.04
305,NYSE,CTVA,CORTEVA INC,52355.2,2026-05-29,78.28,78.099,-3.37,-2.08,16.6,11.65,10.82
306,NASDAQ,NDAQ,NASDAQ INC,52323.8,2026-05-29,92.52,92.52,0.66,5.97,2.38,12.1,-6.58
307,NYSE,AME,AMETEK INC,51765.5,2026-05-29,225.85,225.85,-4.1,-5.44,14.49,27.18,2.59
