투자연도,투자월,종목선정일,종목코드,종목명,시장,1개월(%),3개월(%),6개월(%),12개월(%),시가총액,종가,거래량,이번달수익률
2026,2026-07,2026-06-30,241560,두산밥캣,KOSPI,-4.64,8.44,6.93,6.01,5914319210500,61700,314962,-0.16
2026,2026-07,2026-06-30,454910,두산로보틱스,KOSPI,-15.21,13.58,15.77,36.61,5853244194000,90300,368555,-22.37
2026,2026-07,2026-06-30,009830,한화솔루션,KOSPI,-13.99,-3.11,34.31,13.9,5835751597200,33950,1031387,-5.74
2026,2026-07,2026-06-30,034220,LG디스플레이,KOSPI,-28.34,6.27,-2.37,28.68,5765000000000,11530,4160273,-10.15
2026,2026-07,2026-06-30,000100,유한양행,KOSPI,-17.41,-25.95,-37.54,-32.63,5591261590200,70200,279374,-2.99
2026,2026-07,2026-06-30,029780,삼성카드,KOSPI,3.9,-9.7,-14.22,-2.94,5555433823450,47950,80782,-0.31
2026,2026-07,2026-06-30,377300,카카오페이,KOSPI,-11.82,-15.97,-16.4,-46.48,5552518441250,41050,157686,-3.17
2026,2026-07,2026-06-30,036570,NC,KOSPI,-11.05,14.96,27.79,24.7,5547585665000,257500,98030,-6.6
2026,2026-07,2026-06-30,138930,BNK금융지주,KOSPI,1.37,-4.7,7.44,36.95,5291075912650,17050,811368,6.51
2026,2026-07,2026-06-30,011790,SKC,KOSPI,-23.47,24.22,8.63,2.91,5287178566800,106600,211833,-17.45
2026,2026-07,2026-06-30,271560,오리온,KOSPI,1.77,3.05,24.79,21.23,5214815810800,131900,126462,1.36
2026,2026-07,2026-06-30,128940,한미약품,KOSPI,-19.04,-22.82,-12.06,38.99,5092368922500,397500,78661,-4.03
2026,2026-07,2026-06-30,088980,맥쿼리인프라,KOSPI,-7.12,-9.27,-9.51,-11.32,4875425888740,10180,3020789,-1.08
2026,2026-07,2026-06-30,023530,롯데쇼핑,KOSPI,14.9,56.84,134.07,128.71,4800601723500,169700,106735,-9.07
2026,2026-07,2026-06-30,175330,JB금융지주,KOSPI,3.77,-16.5,-3.31,20.68,4668688883200,24800,337605,12.9
2026,2026-07,2026-06-30,066970,엘앤에프,KOSPI,-33.75,-22.52,17.12,126.17,4523325644500,111500,299165,-9.15
2026,2026-07,2026-06-30,001040,CJ,KOSPI,-4.33,-18.15,-10.06,-3.61,4513681590600,154700,82278,-7.82
2026,2026-07,2026-06-30,082740,한화엔진,KOSPI,-20.56,17.11,18.74,79.26,4255804242000,51000,666836,-9.41
2026,2026-07,2026-06-30,002380,KCC,KOSPI,-11.55,0.93,15.7,55.93,4180443904000,486500,53038,-10.79
