Date,Open,High,Low,Close,Adj Close,Volume
Jan 1, 2013,121.17,121.60,120.12,120.78,87.68,24985900
Dec 1, 2012,122.38,123.44,121.21,121.41,87.78,26453100
Nov 1, 2012,122.02,123.24,121.77,122.91,88.66,19215300
Oct 1, 2012,121.87,123.14,121.00,122.52,88.38,19712200
Sep 1, 2012,121.00,122.35,120.28,121.76,87.83,21532300
Aug 1, 2012,121.37,121.97,118.43,121.14,87.38,19092600
Jul 1, 2012,119.43,121.63,119.40,121.44,87.34,15418300
Jun 1, 2012,120.64,121.41,119.20,119.70,85.52,27675800
May 1, 2012,119.24,121.43,118.86,121.31,86.36,18725700
Apr 1, 2012,117.80,119.77,116.95,119.42,84.78,20020500
Mar 1, 2012,118.33,118.82,116.87,117.65,83.52,23295200
Feb 1, 2012,119.18,119.44,117.69,118.67,84.24,23332400
Jan 1, 2012,116.44,119.38,116.40,119.36,84.73,19175800
Dec 1, 2011,116.52,117.75,115.91,116.69,82.67,17061100
Nov 1, 2011,116.90,118.32,115.91,116.74,82.45,18369700
Oct 1, 2011,114.63,116.55,113.41,116.49,82.15,18955300
Sep 1, 2011,114.59,117.07,114.19,114.30,80.60,24955500
Aug 1, 2011,113.64,118.59,113.44,114.32,80.20,36787500
Jul 1, 2011,110.17,114.36,109.65,114.17,79.55,20210400
Jun 1, 2011,110.18,111.62,109.95,110.64,76.36,18352300
May 1, 2011,110.68,111.39,109.87,110.86,76.10,17241700
Apr 1, 2011,108.52,111.31,108.31,111.16,75.90,15185400
Mar 1, 2011,107.79,110.50,107.70,109.16,74.35,19550100
Feb 1, 2011,107.18,108.45,104.90,108.15,73.55,16160600
Jan 1, 2011,106.97,108.34,106.70,107.54,73.13,15411100
Dec 1, 2010,108.91,109.08,105.48,107.52,72.82,19919400
Nov 1, 2010,111.80,112.48,108.18,109.48,73.98,17556800
Oct 1, 2010,108.80,112.50,108.68,111.62,75.33,16127800
Sep 1, 2010,107.76,109.96,107.13,109.06,73.58,16081600
Aug 1, 2010,106.10,108.31,106.06,108.24,72.90,17071400
Jul 1, 2010,106.37,106.61,105.23,106.37,71.45,11658700
Jun 1, 2010,105.77,107.01,105.07,106.91,71.45,16673700
May 1, 2010,105.78,107.66,105.10,106.10,70.80,24260800
Apr 1, 2010,103.30,106.15,102.29,106.06,70.47,21554200
Mar 1, 2010,103.99,104.83,103.07,103.90,69.03,23843600
Feb 1, 2010,105.16,105.47,103.41,103.91,68.90,23514000
Jan 1, 2010,103.99,105.50,103.78,105.49,69.95,24650400
Dec 1, 2009,106.39,106.44,103.33,103.90,68.60,24786800
Nov 1, 2009,103.84,106.58,103.45,106.57,70.13,20439200
Oct 1, 2009,103.06,104.79,102.52,104.01,68.42,26655200
Sep 1, 2009,100.78,102.95,100.50,102.88,67.06,27273500
Aug 1, 2009,100.46,102.47,99.62,101.76,66.05,25073500
Jul 1, 2009,100.99,101.50,99.86,101.34,65.53,19884900
Jun 1, 2009,100.95,101.75,99.31,101.64,65.48,27790800
May 1, 2009,99.48,102.09,98.64,101.81,65.18,25204300
Apr 1, 2009,102.82,102.85,100.00,100.44,64.01,21769900
Mar 1, 2009,97.31,103.65,96.22,102.75,65.48,23201200
Feb 1, 2009,99.48,101.03,97.02,97.02,61.83,23782400
Jan 1, 2009,99.44,100.87,96.66,99.20,63.22,17271400
Dec 1, 2008,93.74,102.20,93.38,99.24,63.24,14866200
Nov 1, 2008,92.81,96.09,90.65,93.18,59.38,13741200
Oct 1, 2008,101.50,102.60,84.14,92.37,58.40,20862100
Sep 1, 2008,105.14,106.59,101.23,101.30,63.56,14787500
Aug 1, 2008,105.40,107.01,104.26,106.36,66.15,9549700
Jul 1, 2008,107.85,109.17,105.16,106.47,65.77,11814700
Jun 1, 2008,106.03,108.20,104.67,107.85,66.11,9971900
May 1, 2008,107.11,109.06,105.86,106.78,65.18,10482200
Apr 1, 2008,108.92,109.62,106.25,107.11,64.62,10638100
Mar 1, 2008,110.19,112.11,108.19,109.90,66.00,14489800
Feb 1, 2008,109.41,110.58,106.69,110.57,66.06,11720300
Jan 1, 2008,106.02,110.57,105.70,109.58,65.47,8810600
Dec 1, 2007,106.70,106.97,103.99,105.80,62.64,5418100
Nov 1, 2007,102.85,109.10,102.85,106.70,62.97,6910800
Oct 1, 2007,101.61,103.80,100.77,102.80,60.43,3835800
Sep 1, 2007,100.92,102.75,100.56,102.03,59.71,3339700
Aug 1, 2007,100.26,101.40,99.00,101.18,58.95,4252400
Jul 1, 2007,98.57,100.81,97.73,100.80,58.47,4206300
Jun 1, 2007,98.99,99.20,97.21,98.97,57.15,4824400
May 1, 2007,101.07,101.09,99.26,99.63,57.32,3702500
Apr 1, 2007,101.18,102.25,99.19,101.34,58.09,3344100
Mar 1, 2007,100.97,101.66,99.72,101.04,57.76,3452000
Feb 1, 2007,99.11,101.43,98.40,100.99,57.73,4506500
Jan 1, 2007,99.35,99.48,97.77,99.03,56.61,4559700
Dec 1, 2006,101.15,101.65,98.42,98.80,56.48,4955000
Nov 1, 2006,100.10,101.24,99.40,101.13,57.48,3987800
Oct 1, 2006,100.71,100.98,98.70,100.62,56.94,4252600
Sep 1, 2006,100.91,101.60,99.80,101.15,56.91,3439000
Aug 1, 2006,99.81,101.74,99.81,101.61,56.85,3971200
Jul 1, 2006,98.78,100.72,98.21,100.51,55.92,3672800
Jun 1, 2006,99.15,100.06,98.30,99.57,55.09,5083700
May 1, 2006,99.41,100.20,98.62,99.70,54.89,3981800
Apr 1, 2006,99.76,100.35,98.89,99.90,54.72,4423200
Mar 1, 2006,102.72,102.80,100.32,100.65,55.13,3941000
Feb 1, 2006,102.76,103.20,101.69,102.85,56.34,3063500
Jan 1, 2006,102.69,103.49,102.01,102.85,56.34,5359000
Dec 1, 2005,102.32,103.33,101.65,102.82,55.47,3542400
Nov 1, 2005,103.34,104.00,102.25,103.33,55.51,3259500
Oct 1, 2005,104.88,104.89,102.80,103.58,55.48,3488400
Sep 1, 2005,105.42,106.00,104.61,105.27,56.16,3592500
Aug 1, 2005,103.34,105.86,102.40,105.85,56.11,3290400
Jul 1, 2005,106.37,106.45,103.41,103.91,54.72,2803600
Jun 1, 2005,107.00,107.90,105.31,107.23,56.15,2837200
May 1, 2005,106.54,107.45,105.77,107.29,55.96,2408200
Apr 1, 2005,105.46,107.45,104.20,106.90,55.60,3198000
Mar 1, 2005,105.02,106.20,103.65,105.33,54.79,3864500
Feb 1, 2005,105.60,107.32,104.90,105.10,54.58,2833800
Jan 1, 2005,105.50,106.40,104.70,105.82,54.96,3566700
Dec 1, 2004,104.65,107.03,104.03,105.81,54.51,2044200
Nov 1, 2004,105.00,105.99,104.05,104.82,53.91,1632400
Oct 1, 2004,103.69,105.75,102.75,105.33,54.18,1119900
Sep 1, 2004,104.00,104.69,102.93,104.19,53.37,1362600
Aug 1, 2004,101.80,104.75,101.65,104.53,53.26,1106100
Jul 1, 2004,101.70,102.97,101.02,102.33,51.93,1038400
Jun 1, 2004,101.75,102.27,100.10,101.92,51.38,1950500
May 1, 2004,100.68,102.87,99.53,102.75,51.52,2107900
Apr 1, 2004,106.25,106.43,100.80,101.26,50.52,2343900
Mar 1, 2004,105.47,107.67,105.02,106.91,53.34,3088300
Feb 1, 2004,102.98,105.22,102.81,105.16,52.47,2811400
Jan 1, 2004,101.50,103.72,101.08,102.95,51.37,3027300
